Device,Asset Tag/QTY,Model,Serial #,Provided By,STOCKED DATE,Install Date,NOTES,
AIO,1,OptiPlex 7780 AIO,9npx7b3,BIG RAPIDS,5/25/22,,STOCKED IN DUNDEE OFFICE,Cash 13 Utica RMA completed
AIO,C1859,OptiPlex 7490 AIO,FBWRNK3,New Baltimore,1/20.23,,Moved to KZoo/NEEDS SERVICE IN DUNDEE,3/8/23
AIO,C1856,OptiPlex 5490 AIO(no stand),,New Baltimore,1/20/23,,Moved to Detroit,2/23/23
Label Printer 4,C1398,Zebra ZD420,D2N204201965,BIG RAPIDS,5/25/22,,Moved to Detroit Cash 2,
Laptop,C1550,Latitude 3510,8blzwz2,HQ,,,STOCKED IN DUNDEE OFFICE,
Laptop,C1542,Latitude 5420,34b6bk3,HQ,,,STOCKED IN DUNDEE OFFICE,
Laptop,C2156,Latitude 3420,252wpg3,HQ,,,STOCKED IN DUNDEE OFFICE,
Laptop,C1865,Latitude 5520,4fsf63,HQ,,,STOCKED IN DUNDEE OFFICE,
Laptop, C1381,Dell Latitude 5520,7849P93,HQ,,,STOCKED IN DUNDEE OFFICE,Klaudia's returned laptop
Laptop,C2682,Dell Latitude 5310,21NDC63,,,,STOCKED IN DUNDEE OFFICE,
Laptop,C2161,Dell Latitude 5310 2 in 1,DTR1103,,,,IN DUNDEE,
Laptop,C2153,Surface Pro,C02JDDCNQ6,Nikole V,80885195153,,IN DUNDEE,
Laptop,C1690,Dell Latitude 5420,FL46BK3,Brad Wagner,,,IN DUNDEE,
Laptop,???,Dell Latitude 5320,G2TCV93,,,,IN DUNDEE,
Pen,,Microsoft Surface Pen,X002OFWP17,Nikole V,,,IN DUNDEE,
Monitor,C2173,Dell 24in Monitor,cnot4kpwqdcoo9882tvba07,HQ,,,STOCKED IN DUNDEE OFFICE,
Monitor,C2174,Dell 24in Monitor,cn0t4kpwqdc009882u08a07,HQ,,,STOCKED IN DUNDEE OFFICE,
Monitor,C2175,Dell 24in Monitor,cn03ynn5wsl001bp959ba04,HQ,,,STOCKED IN DUNDEE OFFICE,
Monitor,C2176,Dell 24in Monitor,cn03ynn5wsl001bpd6wba04,HQ,,,STOCKED IN DUNDEE OFFICE,
Monitor,C2177,Dell 24in Monitor,cn09h9ykfcc009bjccusa03,HQ,,,STOCKED IN DUNDEE OFFICE,
Monitor,C2178,Dell 24in Monitor,cn03cgjhbo30009p0dcla05,HQ,,,STOCKED IN DUNDEE OFFICE,
Monitor,C2179,Dell 24in Monitor,cn03cgjhbo30009p0eela05,HQ,,,STOCKED IN DUNDEE OFFICE,
Dock,C2180,Dell Docking station (WD19),98xs313,HQ,,,STOCKED IN DUNDEE OFFICE,
Scale,2,Balance i101 Scale,,BIG RAPIDS,5/25/22,,STOCKED IN DUNDEE OFFICE,
Media players ,2,Media Players,,BIG RAPIDS,5/26/2022,,STOCKED IN DUNDEE OFFICE,
Mobile ID Scanner,1,Panasonic FZ-N1,7LKUA53190,BIG RAPIDS,5/25/22,,STOCKED IN DUNDEE OFFICE,
iPad W/case,C1185,iPad Pro 12.9,N/A,,,,STOCKED IN DUNDEE OFFICE,
IPad 1 w/case,1,"IPad Pro 12.9"" 5th Gen",TMQ949NWMW,BIG RAPIDS,5/25/22,,STOCKED IN DUNDEE OFFICE,
IPad 2 w/case,1,"IPad Pro 12.9"" 5th Gen",GKGJFJT64F,BIG RAPIDS,5/25/22,,STOCKED IN DUNDEE OFFICE,
IPad 3 w/case,1,"IPad Pro 12.9"" 5th Gen",GKYWVH49CK,BIG RAPIDS,5/25/22,,STOCKED IN DUNDEE OFFICE,
IPad 4 w/case,1,"IPad Pro 12.9"" 5th Gen",FMQVCK60MY,BIG RAPIDS,5/25/22,,STOCKED IN DUNDEE OFFICE,
Reciept Printer,C1837,TSPIIIW,2550021011302027,New Baltimore,1/20/23,,GOING TO FULTON,
Scale,C1681,AND FX-1200IN,16328529,BIG RAPIDS,5/25/22,,GOING TO New Baltimore,
Scale,C1543,A&D,16327132,Utica,12/30/22,,GOING TO FULTON,
Scale,C1545,A&D,16328507,Utica,12/30/22,,GOING TO FULTON,
Scale,C2116,A&D,16330778,Utica,12/30/22,,GOING TO FULTON,
Scale,C1546,A&D,16328522,Utica,12/30/22,,GOING TO FULTON,
Scale,C1549,A&D,16328558,Utica,12/30/22,,GOING TO FULTON,
Battery back ups ,C1561,BC350,3129cv4bc87f901471,BIG RAPIDS,5/26/2022,,GOING TO FULTON,
Laptop,C1551,Latitude 5420,g10h6g3,HQ,,2/8/2023,MOVED TO TROY (NIRAV SHAH),
Computer,C1833,Dell Optiplex 7490 AIO,44GG3L3,New Baltimore,1/20/23,1/31/23,MOVED TO DETROIT,
Computer,C1832,Dell Optiplex 7490 AIO,1DWRNK3,New Baltimore,1/20/23,1/31/23,MOVED TO DETROIT,
Label Printer,C1833,Zebra ZD410,50N214300571,New Baltimore,1/20/23,1/31/23,MOVED TO DETROIT,
Label Printer,C1832,Zebra ZD410,50n215200631,New Baltimore,1/20/23,1/31/23,MOVED TO DETROIT,
Scanner,C1587,Honeywell 1950GHD,22536N0316,New Baltimore,1/20/23,1/31/23,MOVED TO DETROIT,
Scanner,C1588,Honeywell 1950GHD,22552B123B,New Baltimore,1/20/23,1/31/23,MOVED TO DETROIT,
Reciept Printer,C2041,TSP143III W,2550021021301291,New Baltimore,1/20/23,1/31/23,MOVED TO DETROIT,
Reciept Printer,C1834,TSP143III W,2550021041300274,New Baltimore,1/20/23,1/31/23,MOVED TO DETROIT,
Reciept Printer,C1861,TSP143III W,2550021041300344,New Baltimore,1/20/23,1/31/23,MOVED TO DETROIT,
Scale,C1544,A&D,163226898,Utica,12/30/22,1/31/23,MOVED TO DETROIT,
Scale,C1547,A&D,16328688,Utica,12/30/22,1/31/23,MOVED TO DETROIT,
Scale,C1548,A&D,16328686,Utica,12/30/22,1/31/23,MOVED TO DETROIT,
Battery back ups ,C2099,BC350,3012CV4BC87F400279,BIG RAPIDS,5/25/2022,1/31/23,STOCKED IN DUNDEE OFFICE,
Battery back ups ,C2071,BC350,3129CV4B87F902387,New Baltimore,1/20/23,1/31/2023,MOVED TO DETROIT,
Battery back ups ,C2072,BC350,3129CV4BC87F900711,New Baltimore,1/20/23,1/31/2023,MOVED TO DETROIT,
