Name,Street Number,Street Name
100 Leafs,66,Zhongxiao West Road Section 1
100 Leafs Allegan,205,Clark Street
100 Leafs Battle Creek,2245,Columbia Avenue West
900 Madison,N/A,North 900 East
Adrian,N/A,N/A
Ann Arbor,N/A,N/A
Big Rapids,N/A,N/A
Blackstone,N/A,N/A
Camper,N/A,Sankt Johann im Saggautal
Centennial,N/A,N/A
Cheboygan,N/A,N/A
Chris Jindo,N/A,Narwana Road
Cloud Cannabis A2,44115,Van Dyke Avenue
Cloud Cannabis Big Rapids,105,Perry Avenue
Cloud Cannabis Cedar Springs,N/A,Cloud Drive
Cloud Cannabis Detroit,44115,Van Dyke Avenue
Cloud Cannabis Gaylord,44115,Van Dyke Avenue
Cloud Cannabis GR Fulton,N/A,N/A
Cloud Cannabis GR28th,44115,Van Dyke Avenue
Cloud Cannabis K'zoo,44115,Van Dyke Avenue
Cloud Cannabis Marshall,44115,Van Dyke Avenue
Cloud Cannabis Muskegon,44115,Van Dyke Avenue
Cloud Cannabis New Baltimore,51543,Industrial Drive
Cloud Cannabis TC,44115,Van Dyke Avenue
Cloud Cannabis Troy,44115,Van Dyke Avenue
Cloud Cannabis Utica,44115,Van Dyke Avenue
Cloud Cannabis Warren,44115,Van Dyke Avenue
Corunna,N/A,N/A
Corunna Grow Facility,2,Callejón del Chorrillo
Daren Waligora,N/A,N/A
Detroit,N/A,N/A
DX Adrian Cultivation,N/A,Fő utca
Gaylord,N/A,N/A
Giving Tree Gardens,3213,Longfellow Avenue
Glacial Farms,41650,South Dakota Highway 10
Grand Rapids Fulton,505,Fulton St W
Green Pharm,2619,South Schaefer Highway
Hazel Park,N/A,N/A
Heads Monroe,25,North 100 West
Heads Adrian,1357,Division Street
Huss Towing,5,Darebin Court
Huss Towing Phone,5,Darebin Court
HWH Lansing,N/A,N/A
HWH Lapeer,N/A,N/A
HWH Warren,N/A,N/A
HWH YPSI,N/A,Ypsi Court
Jed's BBQ,1213,North Fayetteville Street
Jon Roumaya,N/A,N/A
Joyology Allegan,N/A,N/A
Joyology Burton,N/A,N/A
Joyology Centerline,N/A,North Centerline Road
Joyology Lowell,N/A,N/A
Joyology Quincy,N/A,N/A
Joyology Reading,N/A,N/A
Joyology Three Rivers,N/A,N/A
Joyology Wayne,N/A,N/A
JPEG Tech,5911,Peg Street
Kalamazoo,N/A,N/A
Kalkaska,N/A,N/A
KeyHPM,N/A,N/A
LaHaze,N/A,N/A
LaHaze Cheboygen,N/A,Lahaie Road
Lahaze Lab,N/A,N/A
Lansing,N/A,N/A
Lapeer,N/A,N/A
Laskey Rd,N/A,Laskey Road
Liberty Center,N/A,N/A
Library Square,350,West Georgia Street
Manchester,N/A,N/A
Marshall,N/A,N/A
Martin Yousif,6350,South Kanner Highway
Meds Cafe Big Rapids,209,South Michigan Avenue
Mitten Bliss,41,Rheinstraße
Muskegon,N/A,N/A
Myndset,30,Burke Road
Northwood,N/A,N/A
Northwoods TC,N/A,Highway 71
Plat8,N/A,Hines Road
Point Place House,N/A,Moose Point Place
Price Pro Swanton,2850,Shaughnessy Street
Puff Cannabis Madison Heights,N/A,N/A
Puff Traverse City,N/A,N/A
Pure Iconic Oxford,16,High Street
Qarana,2032,Maple North Trail
Quincy,N/A,N/A
Rick Courtney,111,1st Avenue Southwest
Second Harvest Cheboygan,14,Merino Entrance
Sterling Heights,N/A,N/A
The Cake,134,Rua Miguel Couto
The Woods,N/A,N/A
The Woods Marcellus,52921,Chamberlain Road
The Woods Westbranch,4920,Westway Park Boulevard
The Woods Whitehall,2865,East Colby Street
Toledo,N/A,N/A
Traverse City,N/A,N/A
Troy,N/A,N/A
Ultra Cannabis Detroit,8005,East Jefferson Avenue
Warren,N/A,N/A
Wilkinsons Body Shop,808,South 8th Street
Wonderbrett K-Zoo,5021,12th Street
Wyld Skye,N/A,Skye Wynd
